Name;Full Name;Nationality;Age;Height;Current Team;Shirt Number;Apps;Mins;Mins/App;Goals;Goals/App;Assists;Assists/App;Yel;Yel/App;Red;Red/App;Shots per Game;Pass Success Percentage;Aerials Won;Forward;Midfielder;Defender;Goalkeeper
Sergio González;;Spain;32;188;Leganes;6;13;1123;86.3846153846154;1;0.0769230769230769;0;0;2;0.153846153846154;0;0;0.4;83.3;1.8;0;0;1;0
Javi Hernández;;Spain;26;185;Leganes;20;65;4350;66.9230769230769;2;0.0307692307692308;5;0.0769230769230769;13;0.2;0;0;0.8;77.4;0.7;0;0;1;0
Aritz Arambarri;;Spain;26;186;Eibar;22;6;261;43.5;0;0;0;0;0;0;0;0;0.2;78.3;1.2;0;0;1;0
Seydouba Cissé;;Guinea;23;177;Leganes;8;14;931;66.5;0;0;0;0;2;0.142857142857143;0;0;0.5;87.1;0.7;0;1;0;0
Adrià Alti;;Spain;23;170;Leganes;2;23;1588;69.0434782608696;0;0;0;0;4;0.173913043478261;0;0;0.2;84.2;0.5;0;0;1;0
Matija Nastasic;;Serbia;31;188;Leganes;22;265;22071;83.2867924528302;6;0.0226415094339623;1;0.00377358490566038;52;0.19622641509434;2;0.00754716981132076;0.4;84.4;1.9;0;0;1;0
Darko Brasanac;;Serbia;32;178;Leganes;14;199;12326;61.9396984924623;8;0.0402010050251256;8;0.0402010050251256;43;0.21608040201005;0;0;0.5;77.4;1;0;1;0;0
Renato Tapia;;Peru;29;185;Leganes;5;233;14862;63.7854077253219;10;0.0429184549356223;2;0.00858369098712446;48;0.206008583690987;3;0.0128755364806867;0.8;80.2;1.4;0;1;1;0
Enric Franquesa;;Spain;27;174;Leganes;15;28;1233;44.0357142857143;1;0.0357142857142857;0;0;2;0.0714285714285714;0;0;0.1;73.5;0.5;0;1;1;0
Óscar Rodríguez;;Spain;26;174;Leganes;7;185;9715;52.5135135135135;17;0.0918918918918919;11;0.0594594594594595;37;0.2;1;0.00540540540540541;1.5;79.3;0.5;1;1;0;0
Munir El Haddadi;;Morocco;29;175;Leganes;23;288;15357;53.3229166666667;53;0.184027777777778;23;0.0798611111111111;27;0.09375;2;0.00694444444444444;1.5;77.6;0.8;1;1;0;0
Miguel de la Fuente;;Spain;25;180;Leganes;9;46;1918;41.6956521739131;2;0.0434782608695652;2;0.0434782608695652;5;0.108695652173913;0;0;0.9;59.5;0.8;1;0;0;0
Diego García;;Spain;24;186;Leganes;19;6;182;30.3333333333333;1;0.166666666666667;0;0;0;0;0;0;1.2;67.6;1.7;1;0;0;0
Sébastien Haller;;Ivory Coast;30;190;Leganes;18;320;23905;74.703125;140;0.4375;51;0.159375;24;0.075;1;0.003125;2.2;66.8;4.7;1;0;0;0
Julián Chicco;;Argentina;26;181;Leganes;24;78;4731;60.6538461538462;1;0.0128205128205128;0;0;23;0.294871794871795;0;0;0.8;76.6;1.4;0;1;0;0
Roberto López;;Spain;24;179;Leganes;21;32;959;29.96875;3;0.09375;2;0.0625;0;0;0;0;0.7;77.8;0.4;0;1;0;0
Lamine Yamal;Lamine Yamal Nasraoui Ebana;Spain;17;180;Barcelona;19;74;4829;65.2567567567568;12;0.162162162162162;20;0.27027027027027;8;0.108108108108108;0;0;2.1;83.1;0.1;0;1;0;0
Raphinha;Raphael Dias Belloli;Brazil;27;176;Barcelona;11;303;21115;69.6864686468647;79;0.260726072607261;58;0.191419141914191;49;0.161716171617162;1;0.0033003300330033;2.1;72.4;0.4;1;1;0;0
Robert Lewandowski;;Poland;36;185;Barcelona;9;623;51180;82.1508828250401;479;0.768860353130016;100;0.160513643659711;57;0.0914927768860353;2;0.00321027287319422;3.7;74.5;2;1;0;0;0
Dani Olmo;;Spain;26;179;Barcelona;20;189;12221;64.6613756613757;38;0.201058201058201;35;0.185185185185185;12;0.0634920634920635;0;0;2;78;0.6;1;1;0;0
Pablo Torre;;Spain;21;173;Barcelona;14;43;1132;26.3255813953488;4;0.0930232558139535;3;0.0697674418604651;2;0.0465116279069767;0;0;0.4;85.5;0;0;1;0;0
Pedri;Pedro González López;Spain;21;174;Barcelona;8;166;11503;69.2951807228916;21;0.126506024096386;15;0.0903614457831325;8;0.0481927710843374;0;0;0.7;87.8;0.1;0;1;0;0
Iñigo Martínez;;Spain;33;182;Barcelona;5;419;36515;87.1479713603819;26;0.0620525059665871;6;0.0143198090692124;110;0.262529832935561;6;0.0143198090692124;0.7;81;2.3;0;0;1;0
Marc Casadó;;Spain;21;172;Barcelona;17;20;1191;59.55;0;0;5;0.25;2;0.1;0;0;0.5;89.9;0.4;0;1;0;0
Jules Koundé;;France;25;180;Barcelona;23;296;25212;85.1756756756757;12;0.0405405405405405;15;0.0506756756756757;30;0.101351351351351;3;0.0101351351351351;0.6;87.3;2.3;0;0;1;0
Alejandro Balde;;;21;175;Barcelona;3;89;5971;67.0898876404494;1;0.0112359550561798;9;0.101123595505618;7;0.0786516853932584;0;0;0.4;90.3;0.4;0;1;1;0
Pau Cubarsí;;Spain;17;184;Barcelona;2;40;3166;79.15;0;0;1;0.025;7;0.175;0;0;0.3;92.2;1.6;0;0;1;0
Marc Bernal;;Spain;17;188;Barcelona;28;3;244;81.3333333333333;0;0;0;0;2;0.666666666666667;0;0;0.7;92.5;0.3;0;1;0;0
Eric García;;Spain;23;182;Barcelona;24;140;10093;72.0928571428571;6;0.0428571428571429;2;0.0142857142857143;18;0.128571428571429;3;0.0214285714285714;0.3;92.6;1.2;0;1;1;0
Iñaki Peña;Ignacio Peña Sotorres;Spain;25;184;Barcelona;13;34;2906;85.4705882352941;0;0;0;0;2;0.0588235294117647;0;0;0;82;0.2;0;0;0;1
Marc-André ter Stegen;;Germany;32;187;Barcelona;1;506;45325;89.5750988142293;0;0;2;0.00395256916996047;13;0.0256916996047431;0;0;0;80.4;0.3;0;0;0;1
Héctor Fort;;Spain;18;185;Barcelona;32;15;598;39.8666666666667;0;0;2;0.133333333333333;0;0;0;0;0.2;91;0.1;0;0;1;0
Pau Víctor;;Spain;22;184;Barcelona;18;11;175;15.9090909090909;1;0.0909090909090909;1;0.0909090909090909;2;0.181818181818182;0;0;0.5;83.9;0;1;0;0;0
